"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
85,"GTLB","Gitlab Inc","Technology","Software - Infrastructure","USA",8302.43,,49.83,1.05%,5599235
86,"HAE","Haemonetics Corp","Healthcare","Medical Devices","USA",4682.56,50.20,102.92,0.07%,425126
87,"HALO","Halozyme Therapeutics Inc","Healthcare","Biotechnology","USA",12506.35,32.92,110.19,-0.51%,1010602
88,"HCC","Warrior Met Coal Inc","Basic Materials","Coking Coal","USA",5515.18,25.12,104.45,1.14%,398497
89,"HNGE","Hinge Health Inc","Healthcare","Health Information Services","USA",7453.74,71.13,92.37,1.77%,1179621
90,"HOOD","Robinhood Markets Inc","Financial","Capital Markets","USA",109786.94,54.07,122.11,-2.09%,23732645
91,"HP","Helmerich & Payne Inc","Energy","Oil & Gas Drilling","USA",4433.29,,44.36,-1.47%,863931
92,"HSIC","Henry Schein Inc","Healthcare","Medical Distribution","USA",10009.01,26.17,89.81,-1.16%,887873
93,"HTFL","Heartflow Inc","Healthcare","Health Information Services","USA",4252.90,,48.91,-1.61%,1407076
94,"HUT","Hut 8 Corp","Financial","Capital Markets","USA",11530.31,,93.54,6.19%,5733713
95,"IDYA","Ideaya Biosciences Inc","Healthcare","Biotechnology","USA",3846.07,,39.86,-0.28%,448007
96,"INVX","Innovex International Inc","Energy","Oil & Gas Equipment & Services","USA",2102.97,33.97,30.07,-2.37%,825388
97,"IREN","IREN Ltd","Financial","Capital Markets","Australia",17583.25,,44.68,7.27%,36266193
98,"IRON","Disc Medicine Inc","Healthcare","Biotechnology","USA",3041.87,,79.23,-0.18%,204857
99,"JANX","Janux Therapeutics Inc","Healthcare","Biotechnology","USA",1237.41,,20.24,2.22%,700774
100,"JOE","St. Joe Co","Real Estate","Real Estate - Diversified","USA",3763.67,30.92,66.11,0.06%,148160
101,"JXN","Jackson Financial Inc","Financial","Insurance - Life","USA",9524.69,193.20,140.63,0.92%,838768
102,"KEX","Kirby Corp","Industrials","Marine Shipping","USA",7432.66,21.63,140.77,-1.74%,418040
103,"KRYS","Krystal Biotech Inc","Healthcare","Biotechnology","USA",10603.49,44.90,358.24,-3.56%,323022
104,"KSS","Kohl's Corp","Consumer Cyclical","Department Stores","USA",2204.04,8.48,19.44,0.52%,3129324
105,"KYMR","Kymera Therapeutics Inc","Healthcare","Biotechnology","USA",9761.05,,117.39,0.09%,378568
106,"LB","Landbridge Company LLC","Energy","Oil & Gas Equipment & Services","USA",6670.20,97.91,86.53,0.51%,182239
107,"LMB","Limbach Holdings Inc","Industrials","Building Products & Equipment","USA",594.58,19.93,49.86,0.63%,290684
108,"LPG","Dorian LPG Ltd","Energy","Oil & Gas Midstream","USA",2361.60,7.32,55.20,3.04%,615302
109,"LXP","LXP Industrial Trust","Real Estate","REIT - Industrial","USA",3583.42,61.31,60.78,0.10%,606300
110,"MAN","ManpowerGroup","Industrials","Staffing & Employment Services","USA",2882.42,27.95,61.98,0.76%,548483
111,"MATX","Matson Inc","Industrials","Marine Shipping","USA",6745.92,15.08,225.59,1.49%,233102
112,"MCK","Mckesson Corp","Healthcare","Medical Distribution","USA",105862.88,24.30,907.99,-1.45%,879269
113,"MD","Pediatrix Medical Group Inc","Healthcare","Medical Care Facilities","USA",2196.28,12.98,27.03,0.56%,532965
114,"MGRT","Mega Fortune Co Ltd","Technology","Information Technology Services","Hong Kong",1559.25,6790.42,113.40,5.01%,25021
115,"MIR","Mirion Technologies Inc","Industrials","Specialty Industrial Machinery","USA",4216.21,191.95,16.93,1.01%,4748278
116,"MLYS","Mineralys Therapeutics Inc","Healthcare","Biotechnology","USA",2493.96,,28.21,-0.21%,643518
117,"MMED","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies","USA",6551.23,,23.28,-2.33%,1719503
118,"MSTR","Strategy Inc","Technology","Software - Application","USA",54867.40,,142.80,-1.39%,27162650
119,"MUR","Murphy Oil Corp","Energy","Oil & Gas E&P","USA",5224.81,18.06,36.44,-2.36%,1514313
120,"NDSN","Nordson Corp","Industrials","Specialty Industrial Machinery","USA",17732.45,32.21,318.36,0.27%,428941
